Expense Category,Budgeted Amount,Actual Amount,Variance,Variance %,Comments
Consulting Fees,42755.77,42147.05471808612,-608.7152819138792,-1.42,Savings from in-house expertise
Utilities,81100.08,98067.60420344934,16967.524203449342,20.92,"Efficient usage, possibly due to energy-saving initiatives"
Employee Benefits,63981.24,64264.65387743397,283.41387743397354,0.44,Lower due to reduced benefits claims
Training and Development,16735.86,20771.952631824955,4036.092631824955,24.12,Underutilized training budget
Utilities,25353.3,81833.49090876005,56480.19090876005,222.77,"Efficient usage, possibly due to energy-saving initiatives"
Utilities,34080.86,28567.155770148653,-5513.704229851348,-16.18,"Efficient usage, possibly due to energy-saving initiatives"
Employee Benefits,65172.85,67799.11404218663,2626.264042186631,4.03,Lower due to reduced benefits claims
Office Supplies,94718.3,76813.94755016464,-17904.352449835365,-18.9,Overdue to remote work increase
Miscellaneous Expenses,65760.96,55284.492639321776,-10476.46736067823,-15.93,Unexpected miscellaneous costs
Employee Benefits,65674.84,82936.58091693548,17261.74091693548,26.28,Lower due to reduced benefits claims
Training and Development,50805.85,53168.31344410391,2362.463444103909,4.65,Underutilized training budget
Travel Expenses,57773.12,48109.66599311211,-9663.454006887892,-16.73,Under budget due to reduced travel
Office Supplies,23720.43,25593.88027783326,1873.4502778332608,7.9,Overdue to remote work increase
Travel Expenses,31294.67,32544.218562882626,1249.5485628826282,3.99,Under budget due to reduced travel
Miscellaneous Expenses,59699.75,75646.30729043478,15946.55729043478,26.71,Unexpected miscellaneous costs
Employee Benefits,51364.92,49107.492902951104,-2257.427097048894,-4.39,Lower due to reduced benefits claims
Travel Expenses,38800.34,36317.887820645396,-2482.452179354601,-6.4,Under budget due to reduced travel
Training and Development,11888.07,11271.39574832452,-616.6742516754803,-5.19,Underutilized training budget
Miscellaneous Expenses,87731.51,103038.69441470764,15307.184414707648,17.45,Unexpected miscellaneous costs
Training and Development,79379.57,99543.55401920588,20163.984019205876,25.4,Underutilized training budget
Technology Equipment,15743.34,15707.830917516967,-35.509082483033126,-0.23,High due to unexpected upgrades
Employee Benefits,28008.48,32770.74297521289,4762.262975212889,17.0,Lower due to reduced benefits claims
Salaries and Wages,49738.13,40864.24559951448,-8873.88440048552,-17.84,Overdue to overtime and staffing needs
Office Supplies,88308.0,74339.4025788156,-13968.5974211844,-15.82,Overdue to remote work increase
Utilities,69463.36,61075.36876490551,-8387.991235094494,-12.08,"Efficient usage, possibly due to energy-saving initiatives"
Consulting Fees,48412.77,42548.71985624968,-5864.050143750319,-12.11,Savings from in-house expertise
Marketing Expenses,29021.37,30156.848307087344,1135.4783070873455,3.91,Increased campaign costs
Miscellaneous Expenses,76308.48,71981.37050082524,-4327.109499174752,-5.67,Unexpected miscellaneous costs
Marketing Expenses,54923.19,46997.201234427856,-7925.988765572147,-14.43,Increased campaign costs
Employee Benefits,27582.07,34647.18996801312,7065.119968013118,25.61,Lower due to reduced benefits claims
Office Supplies,46387.95,57962.3035073472,11574.353507347201,24.95,Overdue to remote work increase
Technology Equipment,82314.9,75715.35238754597,-6599.547612454029,-8.02,High due to unexpected upgrades
Utilities,69478.14,79120.03634305476,9641.89634305476,13.88,"Efficient usage, possibly due to energy-saving initiatives"
Utilities,52033.54,42449.59477207862,-9583.94522792138,-18.42,"Efficient usage, possibly due to energy-saving initiatives"
Employee Benefits,77560.99,91211.54031340046,13650.550313400454,17.6,Lower due to reduced benefits claims
Miscellaneous Expenses,74957.28,79707.82424308841,4750.544243088414,6.34,Unexpected miscellaneous costs
Miscellaneous Expenses,80953.92,82290.70829348653,1336.7882934865338,1.65,Unexpected miscellaneous costs
Salaries and Wages,54446.33,54597.173216982934,150.84321698293206,0.28,Overdue to overtime and staffing needs
Salaries and Wages,65208.38,67589.61273398233,2381.2327339823314,3.65,Overdue to overtime and staffing needs
Technology Equipment,17963.54,17643.70066942455,-319.83933057545073,-1.78,High due to unexpected upgrades
Travel Expenses,60614.64,69938.8802127595,9324.240212759498,15.38,Under budget due to reduced travel
Miscellaneous Expenses,91378.24,97399.29027690599,6021.050276905982,6.59,Unexpected miscellaneous costs
Training and Development,59758.11,58961.80502504533,-796.3049749546699,-1.33,Underutilized training budget
Employee Benefits,47164.5,58051.489535460954,10886.989535460954,23.08,Lower due to reduced benefits claims
Utilities,94296.21,117011.75411128678,22715.54411128677,24.09,"Efficient usage, possibly due to energy-saving initiatives"
Travel Expenses,65837.89,61244.42307069516,-4593.466929304843,-6.98,Under budget due to reduced travel
Consulting Fees,55894.24,58968.09307918889,3073.8530791888916,5.5,Savings from in-house expertise
Marketing Expenses,36927.68,38108.083610760994,1180.4036107609936,3.2,Increased campaign costs
Employee Benefits,60229.0,75480.18880810175,15251.188808101753,25.32,Lower due to reduced benefits claims
Marketing Expenses,79512.07,83676.87683490447,4164.806834904462,5.24,Increased campaign costs
Marketing Expenses,32684.5,26261.959529009466,-6422.540470990534,-19.65,Increased campaign costs
Technology Equipment,21040.46,20246.948066866178,-793.511933133821,-3.77,High due to unexpected upgrades
Office Supplies,41951.23,41543.28072064001,-407.94927935999294,-0.97,Overdue to remote work increase
Travel Expenses,75781.65,98045.05947686726,22263.409476867266,29.38,Under budget due to reduced travel
Training and Development,45408.79,57487.33217154245,12078.542171542453,26.6,Underutilized training budget
Technology Equipment,68444.72,65104.64958815284,-3340.070411847162,-4.88,High due to unexpected upgrades
Miscellaneous Expenses,21135.45,18059.62796591925,-3075.8220340807493,-14.55,Unexpected miscellaneous costs
Travel Expenses,20453.6,24043.94432979584,3590.34432979584,17.55,Under budget due to reduced travel
Consulting Fees,35310.63,29364.841697687516,-5945.788302312481,-16.84,Savings from in-house expertise
Training and Development,56912.11,58836.442186895365,1924.3321868953644,3.38,Underutilized training budget
Office Supplies,97463.43,91640.622532926,-5822.807467073988,-5.97,Overdue to remote work increase
Employee Benefits,18549.8,23340.228122498684,4790.428122498684,25.82,Lower due to reduced benefits claims
Office Supplies,33421.87,28159.082022126684,-5262.787977873319,-15.75,Overdue to remote work increase
Travel Expenses,22212.79,26362.678887984584,4149.888887984584,18.68,Under budget due to reduced travel
Office Supplies,96938.65,77719.5783095856,-19219.071690414392,-19.83,Overdue to remote work increase
Employee Benefits,88505.41,112751.26529415871,24245.85529415871,27.39,Lower due to reduced benefits claims
Office Supplies,38781.26,31206.933406061053,-7574.326593938949,-19.53,Overdue to remote work increase
Travel Expenses,45685.65,57219.80644897301,11534.156448973008,25.25,Under budget due to reduced travel
Travel Expenses,70936.02,81585.61930230497,10649.599302304967,15.01,Under budget due to reduced travel
Utilities,88987.97,76036.07055970836,-12951.899440291643,-14.55,"Efficient usage, possibly due to energy-saving initiatives"
Technology Equipment,81768.04,79631.93429712421,-2136.1057028757787,-2.61,High due to unexpected upgrades
Office Supplies,66264.95,82793.11678060435,16528.166780604355,24.94,Overdue to remote work increase
Utilities,15394.84,14339.926614471966,-1054.9133855280343,-6.85,"Efficient usage, possibly due to energy-saving initiatives"
Utilities,86685.22,94218.56583090518,7533.345830905178,8.69,"Efficient usage, possibly due to energy-saving initiatives"
Consulting Fees,47787.98,50783.10118873175,2995.1211887317477,6.27,Savings from in-house expertise
Travel Expenses,29695.44,32161.945555664002,2466.5055556640036,8.31,Under budget due to reduced travel
Training and Development,25976.5,25075.017288249142,-901.4827117508576,-3.47,Underutilized training budget
Employee Benefits,27096.29,26502.59759387008,-593.6924061299214,-2.19,Lower due to reduced benefits claims
Marketing Expenses,10625.94,13591.339207001283,2965.399207001283,27.91,Increased campaign costs
Travel Expenses,26206.11,32459.508494368165,6253.398494368164,23.86,Under budget due to reduced travel
Utilities,16067.24,16938.084813833702,870.8448138337026,5.42,"Efficient usage, possibly due to energy-saving initiatives"
Salaries and Wages,19620.97,24053.607883106266,4432.637883106265,22.59,Overdue to overtime and staffing needs
Salaries and Wages,60240.94,56146.79397480951,-4094.1460251904937,-6.8,Overdue to overtime and staffing needs
Utilities,55076.31,47850.79062789063,-7225.519372109367,-13.12,"Efficient usage, possibly due to energy-saving initiatives"
Salaries and Wages,59346.63,55712.84614359543,-3633.783856404567,-6.12,Overdue to overtime and staffing needs
Technology Equipment,50463.55,64409.46237926708,13945.91237926708,27.64,High due to unexpected upgrades
Utilities,48417.89,41733.62455744289,-6684.265442557109,-13.81,"Efficient usage, possibly due to energy-saving initiatives"
Training and Development,87407.96,106158.51169439415,18750.551694394147,21.45,Underutilized training budget
Consulting Fees,85109.1,109704.25451913597,24595.154519135962,28.9,Savings from in-house expertise
Salaries and Wages,35925.7,31497.373841458186,-4428.326158541811,-12.33,Overdue to overtime and staffing needs
Salaries and Wages,99335.86,84454.404980248,-14881.455019752,-14.98,Overdue to overtime and staffing needs
Employee Benefits,65842.19,57026.38123806026,-8815.808761939741,-13.39,Lower due to reduced benefits claims
Office Supplies,28117.74,26802.249643308507,-1315.4903566914945,-4.68,Overdue to remote work increase
Marketing Expenses,34252.04,41600.7080686178,7348.668068617801,21.45,Increased campaign costs
Office Supplies,56814.87,67309.89370195271,10495.023701952705,18.47,Overdue to remote work increase
Office Supplies,44057.3,48207.00496411212,4149.704964112119,9.42,Overdue to remote work increase
Employee Benefits,28507.42,23662.740726397486,-4844.679273602513,-16.99,Lower due to reduced benefits claims
Training and Development,62436.38,56934.47409641782,-5501.905903582177,-8.81,Underutilized training budget
Employee Benefits,23142.18,22491.50230790431,-650.6776920956909,-2.81,Lower due to reduced benefits claims
Technology Equipment,24752.15,28264.604284420104,3512.4542844201023,14.19,High due to unexpected upgrades
Training and Development,43484.44,176192.09401378265,132707.65401378265,305.18,Underutilized training budget
Salaries and Wages,66130.65,69579.25075860813,3448.6007586081396,5.21,Overdue to overtime and staffing needs
Travel Expenses,94783.9,99179.32286335668,4395.422863356682,4.64,Under budget due to reduced travel
Travel Expenses,37413.78,41360.626348740385,3946.846348740386,10.55,Under budget due to reduced travel
Technology Equipment,55539.44,48490.778086789796,-7048.661913210206,-12.69,High due to unexpected upgrades
Employee Benefits,69450.99,57228.184586638105,-12222.8054133619,-17.6,Lower due to reduced benefits claims
Training and Development,90480.48,93616.7508691329,3136.2708691329026,3.47,Underutilized training budget
Office Supplies,44409.99,52648.4961292857,8238.506129285699,18.55,Overdue to remote work increase
Office Supplies,17763.48,19576.57357805045,1813.0935780504515,10.21,Overdue to remote work increase
Employee Benefits,37195.88,40385.12884215987,3189.2488421598755,8.57,Lower due to reduced benefits claims
Employee Benefits,31921.85,31434.344925547415,-487.50507445258336,-1.53,Lower due to reduced benefits claims
Travel Expenses,83909.12,102761.01799977016,18851.897999770168,22.47,Under budget due to reduced travel
Miscellaneous Expenses,80164.55,74199.11423384903,-5965.435766150971,-7.44,Unexpected miscellaneous costs
Marketing Expenses,68407.11,87681.1158775682,19274.005877568197,28.18,Increased campaign costs
Marketing Expenses,56026.16,47418.77852584116,-8607.381474158843,-15.36,Increased campaign costs
Employee Benefits,55609.88,67236.82809455923,11626.94809455923,20.91,Lower due to reduced benefits claims
Office Supplies,16948.63,17468.277246692327,519.647246692326,3.07,Overdue to remote work increase
Marketing Expenses,40437.35,43728.85037126598,3291.500371265982,8.14,Increased campaign costs
Consulting Fees,89299.97,88586.30917408076,-713.6608259192435,-0.8,Savings from in-house expertise
Training and Development,42281.58,45367.117718218826,3085.537718218824,7.3,Underutilized training budget
Technology Equipment,27095.31,27815.3707055691,720.0607055690998,2.66,High due to unexpected upgrades
Utilities,92932.87,74752.84609673847,-18180.02390326152,-19.56,"Efficient usage, possibly due to energy-saving initiatives"
Employee Benefits,25708.31,27606.661581709413,1898.3515817094121,7.38,Lower due to reduced benefits claims
Utilities,38682.87,48791.02099765604,10108.150997656041,26.13,"Efficient usage, possibly due to energy-saving initiatives"
Travel Expenses,10640.5,10069.643220302567,-570.856779697433,-5.36,Under budget due to reduced travel
Travel Expenses,80022.95,77047.28366697417,-2975.6663330258307,-3.72,Under budget due to reduced travel
Consulting Fees,39475.01,38924.048235811955,-550.9617641880468,-1.4,Savings from in-house expertise
Miscellaneous Expenses,90134.69,108049.1306208051,17914.440620805093,19.88,Unexpected miscellaneous costs
Consulting Fees,94187.31,101278.4234777827,7091.113477782696,7.53,Savings from in-house expertise
Technology Equipment,23158.29,19320.162830261983,-3838.127169738018,-16.57,High due to unexpected upgrades
Marketing Expenses,52032.37,41725.415193506204,-10306.954806493799,-19.81,Increased campaign costs
Office Supplies,31724.49,29672.594553561506,-2051.895446438495,-6.47,Overdue to remote work increase
Office Supplies,79177.64,74726.57051677666,-4451.069483223342,-5.62,Overdue to remote work increase
Utilities,22967.77,25813.249187308043,2845.479187308043,12.39,"Efficient usage, possibly due to energy-saving initiatives"
Utilities,85294.69,75778.800574548,-9515.889425451998,-11.16,"Efficient usage, possibly due to energy-saving initiatives"
Salaries and Wages,99981.25,111478.99377576029,11497.74377576029,11.5,Overdue to overtime and staffing needs
Office Supplies,95958.3,115546.99647169001,19588.69647169001,20.41,Overdue to remote work increase
Utilities,20778.1,20865.421733625426,87.32173362542744,0.42,"Efficient usage, possibly due to energy-saving initiatives"
Employee Benefits,75276.88,85946.51966467717,10669.63966467716,14.17,Lower due to reduced benefits claims
Salaries and Wages,69476.09,87715.17368983215,18239.083689832158,26.25,Overdue to overtime and staffing needs
Salaries and Wages,54347.39,62807.417947705864,8460.027947705865,15.57,Overdue to overtime and staffing needs
Office Supplies,14825.97,12011.841577564055,-2814.1284224359442,-18.98,Overdue to remote work increase
Travel Expenses,71804.36,85359.64778523304,13555.287785233042,18.88,Under budget due to reduced travel
Utilities,43895.23,56327.125701851015,12431.895701851012,28.32,"Efficient usage, possibly due to energy-saving initiatives"
Office Supplies,71163.25,80480.14512651597,9316.89512651597,13.09,Overdue to remote work increase
Salaries and Wages,71916.62,62814.251897143775,-9102.36810285622,-12.66,Overdue to overtime and staffing needs
Salaries and Wages,69052.17,78924.86201107847,9872.69201107847,14.3,Overdue to overtime and staffing needs
Miscellaneous Expenses,36560.86,40817.615065460974,4256.755065460973,11.64,Unexpected miscellaneous costs
Travel Expenses,96830.67,99970.08724513355,3139.417245133547,3.24,Under budget due to reduced travel
Technology Equipment,17320.33,17367.295617090193,46.96561709019079,0.27,High due to unexpected upgrades
Miscellaneous Expenses,36754.58,30751.717465895934,-6002.862534104068,-16.33,Unexpected miscellaneous costs
Miscellaneous Expenses,55695.36,57887.05084229049,2191.690842290489,3.94,Unexpected miscellaneous costs
Salaries and Wages,82815.08,106263.15893775124,23448.07893775124,28.31,Overdue to overtime and staffing needs
Employee Benefits,26239.99,25178.84379417697,-1061.1462058230318,-4.04,Lower due to reduced benefits claims
Miscellaneous Expenses,88248.87,85118.98899194086,-3129.8810080591356,-3.55,Unexpected miscellaneous costs
Office Supplies,27709.76,28026.41414771592,316.6541477159226,1.14,Overdue to remote work increase
Miscellaneous Expenses,58277.42,75221.89017461451,16944.470174614515,29.08,Unexpected miscellaneous costs
Office Supplies,31388.78,37218.05193669763,5829.271936697631,18.57,Overdue to remote work increase
Technology Equipment,36814.94,43572.95943324908,6758.019433249079,18.36,High due to unexpected upgrades
Utilities,53813.94,55319.22978941877,1505.28978941877,2.8,"Efficient usage, possibly due to energy-saving initiatives"
Consulting Fees,42958.39,54133.79328698503,11175.403286985027,26.01,Savings from in-house expertise
Consulting Fees,59537.62,50621.02008958529,-8916.599910414712,-14.98,Savings from in-house expertise
Miscellaneous Expenses,47904.69,58031.02723541674,10126.337235416737,21.14,Unexpected miscellaneous costs
Employee Benefits,59680.09,50190.28329120283,-9489.806708797165,-15.9,Lower due to reduced benefits claims
Utilities,80875.42,96715.4320592312,15840.012059231201,19.59,"Efficient usage, possibly due to energy-saving initiatives"
Salaries and Wages,86103.68,75099.98091611674,-11003.699083883257,-12.78,Overdue to overtime and staffing needs
Travel Expenses,12103.45,14595.256576024269,2491.806576024268,20.59,Under budget due to reduced travel
Salaries and Wages,50413.76,55578.5767955634,5164.816795563398,10.24,Overdue to overtime and staffing needs
Miscellaneous Expenses,11211.53,13722.206967755072,2510.676967755071,22.39,Unexpected miscellaneous costs
Consulting Fees,74147.38,70310.48162478655,-3836.898375213452,-5.17,Savings from in-house expertise
Miscellaneous Expenses,74803.75,75465.05503534588,661.3050353458821,0.88,Unexpected miscellaneous costs
Salaries and Wages,43880.57,52796.80474225421,8916.234742254208,20.32,Overdue to overtime and staffing needs
Consulting Fees,71351.46,75544.84587242933,4193.385872429324,5.88,Savings from in-house expertise
Technology Equipment,66103.17,81317.16698075933,15213.99698075933,23.02,High due to unexpected upgrades
Employee Benefits,67548.04,71944.49005460959,4396.450054609595,6.51,Lower due to reduced benefits claims
Consulting Fees,33164.53,42466.25397098411,9301.723970984109,28.05,Savings from in-house expertise
Training and Development,98656.71,96600.28020250448,-2056.429797495526,-2.08,Underutilized training budget
Training and Development,94309.24,83964.0206007843,-10345.219399215712,-10.97,Underutilized training budget
Utilities,55909.07,60374.49211416177,4465.422114161767,7.99,"Efficient usage, possibly due to energy-saving initiatives"
Utilities,64693.81,64473.263378449796,-220.54662155020196,-0.34,"Efficient usage, possibly due to energy-saving initiatives"
Consulting Fees,48033.24,49707.4931111438,1674.2531111438002,3.49,Savings from in-house expertise
Consulting Fees,87984.16,73254.58893624961,-14729.571063750394,-16.74,Savings from in-house expertise
Training and Development,62787.88,56671.28620798269,-6116.593792017309,-9.74,Underutilized training budget
Office Supplies,14660.25,12872.254819359547,-1787.9951806404533,-12.2,Overdue to remote work increase
Travel Expenses,99570.85,83945.44105620912,-15625.408943790884,-15.69,Under budget due to reduced travel
Employee Benefits,95629.18,97082.54026754686,1453.360267546872,1.52,Lower due to reduced benefits claims
Utilities,92735.3,77910.21264595685,-14825.08735404315,-15.99,"Efficient usage, possibly due to energy-saving initiatives"
Employee Benefits,25342.75,22369.59883018553,-2973.1511698144714,-11.73,Lower due to reduced benefits claims
Employee Benefits,31503.72,33663.912165939124,2160.192165939123,6.86,Lower due to reduced benefits claims
Marketing Expenses,84342.29,108570.28560464803,24227.995604648037,28.73,Increased campaign costs
Technology Equipment,30577.04,30984.179377990116,407.13937799011546,1.33,High due to unexpected upgrades
Miscellaneous Expenses,84598.5,73035.62433689529,-11562.875663104714,-13.67,Unexpected miscellaneous costs
Travel Expenses,25801.61,27003.354538764113,1201.7445387641128,4.66,Under budget due to reduced travel
Travel Expenses,38595.24,44736.118472566515,6140.878472566517,15.91,Under budget due to reduced travel
Employee Benefits,81004.2,104434.51850925636,23430.318509256365,28.92,Lower due to reduced benefits claims
Consulting Fees,18686.66,21253.398589741388,2566.738589741388,13.74,Savings from in-house expertise
Consulting Fees,18268.62,21383.981763347612,3115.3617633476133,17.05,Savings from in-house expertise
Office Supplies,65492.66,77348.43603570736,11855.776035707357,18.1,Overdue to remote work increase
Employee Benefits,82431.29,101959.9782338518,19528.688233851804,23.69,Lower due to reduced benefits claims
Miscellaneous Expenses,43350.45,49054.78177272946,5704.331772729463,13.16,Unexpected miscellaneous costs
Travel Expenses,68302.78,64779.77630671755,-3523.0036932824514,-5.16,Under budget due to reduced travel
Employee Benefits,88123.73,83195.89760805835,-4927.832391941643,-5.59,Lower due to reduced benefits claims
Training and Development,55041.0,64979.27924205712,9938.27924205712,18.06,Underutilized training budget
Office Supplies,20209.72,20726.841624454366,517.1216244543648,2.56,Overdue to remote work increase
Consulting Fees,87717.54,102146.16143663452,14428.621436634523,16.45,Savings from in-house expertise
Salaries and Wages,67172.64,55660.47730602048,-11512.162693979517,-17.14,Overdue to overtime and staffing needs
Training and Development,50027.86,45380.90654061637,-4646.953459383629,-9.29,Underutilized training budget
Utilities,38727.65,43352.806922429845,4625.156922429844,11.94,"Efficient usage, possibly due to energy-saving initiatives"
Travel Expenses,64443.71,76920.34325761863,12476.633257618632,19.36,Under budget due to reduced travel
Technology Equipment,78680.81,66794.2370648475,-11886.572935152493,-15.11,High due to unexpected upgrades
Office Supplies,77583.44,97055.43072170127,19471.990721701266,25.1,Overdue to remote work increase
Miscellaneous Expenses,77484.62,66280.69371441525,-11203.926285584748,-14.46,Unexpected miscellaneous costs
Salaries and Wages,67127.73,76148.17367873662,9020.443678736628,13.44,Overdue to overtime and staffing needs
Utilities,41844.1,38334.56428939342,-3509.5357106065785,-8.39,"Efficient usage, possibly due to energy-saving initiatives"
Travel Expenses,22266.03,25487.950910904485,3221.920910904486,14.47,Under budget due to reduced travel
Consulting Fees,54395.16,57247.92034344421,2852.7603434442062,5.24,Savings from in-house expertise
Office Supplies,58355.19,54204.87828525481,-4150.311714745192,-7.11,Overdue to remote work increase
Marketing Expenses,94596.92,84303.52009833413,-10293.399901665864,-10.88,Increased campaign costs
Marketing Expenses,43791.43,47032.47853019833,3241.048530198328,7.4,Increased campaign costs
Marketing Expenses,94556.7,88032.75676330681,-6523.943236693187,-6.9,Increased campaign costs
Miscellaneous Expenses,70335.41,70548.88264311636,213.47264311635809,0.3,Unexpected miscellaneous costs
Salaries and Wages,12626.01,12736.0794451257,110.06944512570044,0.87,Overdue to overtime and staffing needs
Consulting Fees,95234.27,86241.86083392135,-8992.40916607865,-9.44,Savings from in-house expertise
Marketing Expenses,33972.82,37510.53579897811,3537.7157989781117,10.41,Increased campaign costs
Technology Equipment,81478.81,103475.68223394957,21996.872233949573,27.0,High due to unexpected upgrades
Office Supplies,91477.08,99606.16584743671,8129.085847436712,8.89,Overdue to remote work increase
Miscellaneous Expenses,64023.44,77186.32898668156,13162.888986681559,20.56,Unexpected miscellaneous costs
Utilities,56588.26,46494.15919395649,-10094.100806043512,-17.84,"Efficient usage, possibly due to energy-saving initiatives"
Consulting Fees,34045.62,40572.058874685186,6526.438874685184,19.17,Savings from in-house expertise
Training and Development,38260.27,45042.803809994126,6782.533809994129,17.73,Underutilized training budget
Travel Expenses,94609.88,96664.48040496875,2054.600404968747,2.17,Under budget due to reduced travel
Employee Benefits,41884.43,36508.62630917116,-5375.803690828841,-12.83,Lower due to reduced benefits claims
Employee Benefits,49087.29,49489.80222490649,402.512224906488,0.82,Lower due to reduced benefits claims
Travel Expenses,51714.65,59503.332699054685,7788.682699054683,15.06,Under budget due to reduced travel
Office Supplies,70511.39,68479.48256807824,-2031.9074319217616,-2.88,Overdue to remote work increase
Office Supplies,55827.32,68916.61313660373,13089.29313660373,23.45,Overdue to remote work increase
Utilities,75513.64,65907.27202135818,-9606.367978641822,-12.72,"Efficient usage, possibly due to energy-saving initiatives"
Consulting Fees,98414.92,100988.95150421804,2574.0315042180446,2.62,Savings from in-house expertise
Utilities,59110.16,76509.90248915921,17399.74248915921,29.44,"Efficient usage, possibly due to energy-saving initiatives"
Miscellaneous Expenses,16354.7,19927.441974679543,3572.741974679542,21.85,Unexpected miscellaneous costs
Miscellaneous Expenses,18067.82,15305.831224168878,-2761.9887758311215,-15.29,Unexpected miscellaneous costs
Employee Benefits,22876.62,22966.800989972384,90.18098997238485,0.39,Lower due to reduced benefits claims
Employee Benefits,77515.89,70330.00354647577,-7185.886453524232,-9.27,Lower due to reduced benefits claims
Travel Expenses,16374.17,19753.315899980564,3379.1458999805636,20.64,Under budget due to reduced travel
Consulting Fees,90360.42,99611.37638149675,9250.956381496755,10.24,Savings from in-house expertise
